Average Infections, Infection Prob., Susceptibility Prob.
306.7530589543938, 0.30000000000000004, 0.9500000000000001
325.6840934371524, 0.30000000000000004, 1.0
0.0, 0.35000000000000003, 0.0
0.0, 0.35000000000000003, 0.05
0.0, 0.35000000000000003, 0.1
0.0, 0.35000000000000003, 0.15000000000000002
0.27586206896551724, 0.35000000000000003, 0.2
27.587319243604004, 0.35000000000000003, 0.25
97.44271412680756, 0.35000000000000003, 0.30000000000000004
168.93325917686317, 0.35000000000000003, 0.35000000000000003
238.45050055617352, 0.35000000000000003, 0.4
290.706340378198, 0.35000000000000003, 0.45
340.5806451612903, 0.35000000000000003, 0.5
367.2880978865406, 0.35000000000000003, 0.55
405.8197997775306, 0.35000000000000003, 0.6000000000000001
427.29699666295886, 0.35000000000000003, 0.65
454.82647385984427, 0.35000000000000003, 0.7000000000000001
456.4916573971079, 0.35000000000000003, 0.75
483.2224694104561, 0.35000000000000003, 0.8
508.7163515016685, 0.35000000000000003, 0.8500000000000001
534.726362625139, 0.35000000000000003, 0.9
540.749721913237, 0.35000000000000003, 0.9500000000000001
558.7363737486096, 0.35000000000000003, 1.0
0.0, 0.4, 0.0
0.0, 0.4, 0.05
0.0, 0.4, 0.1
3.3092324805339266, 0.4, 0.15000000000000002
29.399332591768633, 0.4, 0.2
204.23804226918799, 0.4, 0.25
275.1813125695217, 0.4, 0.30000000000000004
329.15127919911015, 0.4, 0.35000000000000003
389.3248053392659, 0.4, 0.4
434.9566184649611, 0.4, 0.45
472.54393770856507, 0.4, 0.5
505.9543937708565, 0.4, 0.55
535.0522803114571, 0.4, 0.6000000000000001
563.4783092324806, 0.4, 0.65
586.4060066740823, 0.4, 0.7000000000000001
608.5962180200222, 0.4, 0.75
625.777530589544, 0.4, 0.8
642.8709677419355, 0.4, 0.8500000000000001
662.5172413793103, 0.4, 0.9
672.6596218020022, 0.4, 0.9500000000000001
688.4360400444939, 0.4, 1.0
0.0, 0.45, 0.0
0.0, 0.45, 0.05
0.021134593993325918, 0.45, 0.1
116.92213570634038, 0.45, 0.15000000000000002
206.6607341490545, 0.45, 0.2
295.14015572858733, 0.45, 0.25
372.2558398220245, 0.45, 0.30000000000000004
433.83203559510565, 0.45, 0.35000000000000003
